x,y,type,name,address,borough,zip,phone
1004308,178698,DOE,P.S. 268 Emma Lazarus,133 East 53 St,K,11203,718-773-5332
994945,191064,DOE,P.S. 270 Johann Dekalb,241 Emerson Pl,K,11205,718-623-5280
1017806,179114,DOE,P.S. 273 Wortman,923 Jerome St,K,11207,718-649-5739
1009786,170188,DOE,P.S. 276 Louis Marshall,1070 East 83 St,K,11236,718-241-5757
1014049,173991,DOE,P.S. 279 Herman Schreiber,1070 East 104 St,K,11236,718-444-4316
990423,185765,DOE,P.S. 282 Park Slope,180 6 Ave,K,11217,718-622-1626
989554,193596,DOE,P.S. 287 Bailey K Ashford,50 Navy St,K,11201,718-834-4745
1000334,185025,DOE,P.S. 289 George V Brower,900 St Marks Ave,K,11213,718-493-3824
987330,180120,DOE,P.S. 295,330 18 St,K,11215,718-965-0390
1009797,183759,DOE,P.S. 298 Dr. Betty Shabazz,85 Watkins St,K,11212,718-495-7793
999466,189159,DOE,P.S. 305 Dr. Peter Ray,344 Monroe St,K,11216,718-789-3962
989287,194892,DOE,P.S. 307 Daniel Hale Williams,209 York St,K,11201,718-834-4748
1005259,190031,DOE,P.S. 309 The George E Wibecan Preparatory Academy,794 Monroe St,K,11221,718-574-2381
996903,169868,DOE,P.S. K315,2310 Glenwood Rd,K,11210,718-421-9560
996991,197833,DOE,P.S. 319,360 Keap St,K,11211,718-388-1588
1013506,177584,DOE,The Fresh Creek School,875 Williams Ave,K,11207,718-272-1843
1008639,182807,DOE,P.S. 327 Dr. Rose B English,111 Bristol St,K,11212,718-495-7801
985385,148644,DOE,P.S. 329 Surfside,2929 West 30 St,K,11224,718-996-3800
1017530,185678,DOE,P.S. 345 Patrolman Robert Bolden,111 Berriman St,K,11208,718-647-8387
998959,172556,DOE,P.S. 361 East Flatbush Early Childhood School,3109 Newkirk Ave,K,11226,718-856-0600
995449,181484,DOE,P.S. 375 Jackie Robinson School,46 Mckeever Pl,K,11225,718-693-6655
997157,195047,DOE,P.S. 380 John Wayne Elementary,370 Marcy Ave,K,11206,718-388-0607
1004137,184405,DOE,M.S. K394,188 Rochester Ave,K,11213,718-756-3164
1004231,181212,DOE,P.S. 398 Walter Weaver,60 East 94 St,K,11212,718-774-4466
996862,197921,DOE,Brooklyn Arbor Elementary School,325 South 3 St,K,11211,718-963-0393
978839,173228,DOE,P.S. 506 : The School Of Journalism & Technology,330 59 St,K,11220,718-492-0087
1002508,183178,DOE,New Bridges Elementary,1025 Eastern Pkwy,K,11213,718-363-8200
1009065,187213,DOE,Brooklyn Landmark Elementary School,251 Mcdougal St,K,11233,718-443-2747
1002154,187659,DOE,Brooklyn Brownstone School,272 Macdonough St,K,11233,718-573-2307
982340,184973,CHARTER,Pave Academy Charter School,76 Lorraine St,K,11231,917-803-0380
1017717,183231,DOE,East New York Elementary School Of Excellence,605 Shepherd Ave,K,11208,718-272-6075
995436,185886,DOE,Brooklyn Arts And Science Elementary School,443 St Marks Ave,K,11238,718-230-0851
1004164,181298,DOE,P.S. 770 New American Academy,60 East 94 St,K,11212,718-221-5837
999262,180626,NYCEEC,Associated Beth Rivkah School - UPK,470 Lefferts Ave,K,11225,718-735-0400
989033,171984,NYCEEC,Bais Tziporah,1449 39th St,K,11218,718-436-8336
994745,164146,NYCEEC,Bais Yaakov Academy UPK,1213 Elm Ave,K,11230,718-339-4747
990677,165898,NYCEEC,Barkai Yeshivah,5302 21 Ave,K,11204,718-998-7473
1016772,174547,NYCEEC,Be - Er Hagolah Institutes,671 Louisiana Ave,K,11239,718-642-6800
1001380,180668,NYCEEC,Bnos Menachem,739 East New York Ave,K,11203,718-493-1100
988683,171061,NYCEEC,Gan DCC,4206 - 10 15th Ave,K,11219,718-435-2812
974876,166906,NYCEEC,Dimitrios & Georgia Kaloidis P.S. Of Holy Cross Goc,8502 Rdg Blvd,K,11209,718-836-8096
1000793,159493,NYCEEC,Good Shepherd School,1943 Brown St,K,11229,718-339-2745
996304,168211,NYCEEC,Masores Bais Yaakov,1395 Ocean Ave,K,11230,718-692-2424
999883,174969,NYCEEC,Phyl's Academy,3520 Tilden Ave,K,11203,718-469-9400
976536,167089,NYCEEC,St. Anselm Catholic Academy,365 83 St,K,11209,212-929-0839
982809,159201,NYCEEC,Heartshare Human Services Of New York,1825 Bath Ave,K,11214,718-238-4637
998382,180267,NYCEEC,St. Francis Of Assisi,400 Lincoln Rd,K,11225,718-778-3700
986936,158403,NYCEEC,St. Peter Catholic Academy,8401 23rd Ave,K,11214,718-372-0025
991104,167799,NYCEEC,"Cheder, The",129 Elmwood Ave,K,11230,718-252-6333
988679,166928,NYCEEC,Yeshiva Karlin Stolin,1801 55th St,K,11204,718-232-7800
993607,167603,NYCEEC,Yeshivah Of Flatbush,919 East 10 St,K,11230,718-377-4040
994249,165097,NYCEEC,Yeshiva Ohr Shraga,1102 Ave L,K,11230,718-252-7777
996604,163668,NYCEEC,Yeshiva Toras Emes,1904 Ave N,K,11230,718-375-0900
1005130,175370,NYCEEC,Parkway School,5566 Kings Hwy,K,11203,718-346-0369
1005435,187319,NYCEEC,Brevoort Children's Center,250 Ralph Ave,K,11233,718-778-1069
994095,172679,NYCEEC,Cortelyou ECC,386 Marlborough Rd,K,11226,718-282-6077
998938,170343,NYCEEC,Glennwood Avenue Head Start,3017 Glenwood Rd,K,11210,718-859-7720
1000019,199974,NYCEEC,Ahrc Francis Of Paola ELC,201 Conselyea St,K,11211,718-782-1462
994173,151073,NYCEEC,Neptune Avenue Head Start,293 Neptune Ave,K,11235,718-332-8524
1014511,169772,NYCEEC,Hebrew Educational Society,9502 Seaview Ave,K,11236,718-241-3000
998505,183018,NYCEEC,Macademy,1313 Un St,K,11225,718-221-5566
1005748,186420,NYCEEC,Bishop Sexton,933 Herkimer St,K,11233,718-778-0292
1003224,182225,NYCEEC,"Highlights Academy, Inc.",1688 President St,K,11213,718-953-5555
995872,197144,NYCEEC,"Puerto Rican Family Institute, Inc.",185 Marcy Ave,K,11211,718-388-6060
997056,181950,NYCEEC,"Bambi DCC, Inc.",300 Rogers Ave,K,11225,718-771-1603
990715,184947,NYCEEC,St. Francis Xavier,763 President St,K,11215,718-857-2559
1005666,193610,NYCEEC,Bushwick United HDFC 1,136 Stanhope St,K,11221,718-443-0134
987750,154384,NYCEEC,Block Institute,133 27th Ave,K,11214,347-649-3601
994613,163502,NYCEEC,Bet Yaakov Ohr Sarah,1123 Ave N,K,11230,718-627-8758
1010873,182961,NYCEEC,Nat Azarow Children's Center,232 Powell St,K,11212,718-346-0924
987018,148546,NYCEEC,PAL Carey Gardens,2964 West 23rd St,K,11224,718-372-4044
1011999,173864,NYCEEC,Khyle Brenaj Kiddie Daycare Inc.,9718 Flatlands Ave,K,11236,718-896-8108
997107,190731,NYCEEC,"Tabernacle Church Of God DCC, Inc.",34 Kosciuszko St,K,11205,718-638-3209
1018065,184170,NYCEEC,Urban Strategies 1,1091 Sutter Ave,K,11208,718-235-6151
997245,170999,NYCEEC,Cortelyou Academy,2739 Bedford Ave,K,11210,718-421-9581
998081,179139,NYCEEC,Mary Bobb Learning Academy,1187 Nostrand Ave,K,11225,718-604-4400
1006606,193748,NYCEEC,New Life CDC 4,1307 Greene Ave,K,11237,718-366-1668
1021619,178530,NYCEEC,Brooklyn Developmental Center,888 Fountain Ave,K,11208,718-235-8800
996138,182583,NYCEEC,Friends Of Crown Heights Educational Center #11,995 Carroll St,K,11225,929-234-5010
995491,174312,NYCEEC,St. Marks,2017 Beverley Rd,K,11226,718-287-7300
980895,174833,NYCEEC,St. Andrews CDC,4917 Fourth Ave,K,11220,718-492-9678
988159,171649,NYCEEC,Yeled V'Yalda,1377 42nd St,K,11219,718-514-8930
991727,170485,NYCEEC,Mevakshei Hashem,550 Ocean Pkwy,K,11226,718-435-8900
1021389,184414,NYCEEC,Urban Strategies 5 - Georgia L Mcmurray ECDC,675 Lincoln Ave,K,11208,718-235-1215
1008189,193091,NYCEEC,"Kreative Kare DCC, Inc.",292 Palmetto St,K,11237,718-386-3242
989993,172288,NYCEEC,"Yeled V'Yalda ECC, Inc.",600 Mcdonald Ave,K,11218,718-514-8980
1001038,181711,NYCEEC,Be Above 37,570 Crown St,K,11213,718-774-4131
998876,180599,NYCEEC,All My Children Day Care 10,420 Lefferts Ave,K,11225,718-576-6812
1001191,190131,NYCEEC,LSSMNY : Early Life Children's Center 8,265 Marcus Garvey Blvd,K,11221,347-689-8303
986692,170199,NYCEEC,"Yeled V'Yalda ECC, Inc.",1349 / 53 50th St,K,11219,718-854-6922
1017772,181780,NYCEEC,Friends Of Crown Heights Educational Center,921 Hegeman Ave,K,11208,929-234-2866
996876,183970,NYCEEC,Friends Of Crown Heights 10,1491 Bedford Ave,K,11216,929-234-2821
1009505,184191,NYCEEC,YWCA - NYC Brownsville ELC,1592 East New York Ave,K,11212,718-342-2905
988947,189201,NYCEEC,Strong Place For Hope DCC - Atlantic,460 Atlantic Ave,K,11217,718-522-1351
1006405,191310,NYCEEC,LSSMNY : Early Life Children's Center 9,1175 Gates Ave,K,11221,718-443-4500
1000023,194589,NYCEEC,Bushwick United HDFC 9,741 Flushing Ave,K,11206,347-497-3676
1003982,184593,NYCEEC,Friends Of Crown Heights 29,1435 Prospect Pl,K,11213,718-778-1498
996498,178302,NYCEEC,Parkside ECDC,525 Parkside Ave,K,11226,718-722-6236
994869,194894,NYCEEC,United Academy - Wythe Avenue,722 Wythe Ave,K,11249,718-935-9848
997762,178269,NYCEEC,"Infant And Child Learning Center, The",670 Parkside Ave,K,11226,718-675-1249
1018073,186044,NYCEEC,Friends Of Crown Heights 18,851 Liberty Ave,K,11208,929-234-2955
994766,187859,NYCEEC,Young Minds DCC,972 Fulton St,K,11238,718-622-8622
995035,189232,NYCEEC,Bedford Stuyvesant ECDC 5Q,5 Quincy St,K,11238,718-453-0788
997939,190854,NYCEEC,"Salvation Army, Bedford",110 Kosciusko St,K,11216,718-552-2690
1000711,193640,NYCEEC,Sumner Children's Center,860 Park Ave,K,11206,718-455-3471
998837,197692,NYCEEC,Stagg Street Center For Children,77 Stagg St,K,11206,718-388-1395
999969,197833,NYCEEC,Graham CCC,222 Graham Ave,K,11206,718-387-9482
1010815,190492,NYCEEC,Audrey Johnson DCC,272 Moffat St,K,11207,718-574-0130
995956,198655,NYCEEC,Nuestros Ninos DCC II,243 South 2nd St,K,11211,718-218-8275
982644,171900,NYCEEC,Brooklyn Chinese - American Assoc.,812 54th St,K,11220,718-438-0008
988487,180754,NYCEEC,Chick Peas Child Care,451 7th Ave,K,11215,347-878-8732
990971,189050,NYCEEC,"Hanson Place CDC, Inc.",55 Hanson Pl,K,11217,718-237-4303
986644,190766,NYCEEC,A Fantis Parochial School,195 State St,K,11201,718-624-0501
981214,175525,NYCEEC,Sunset Park Children's School,4616 4th Ave,K,11220,718-439-3323
985463,172802,NYCEEC,Nesivos Bais Yaakov,1021 45th St,K,11219,718-972-0804
1002766,189860,NYCEEC,Bedford - Stuyvesant ECDC,214 Stuyvesant Ave,K,11221,718-453-0605
997668,189692,NYCEEC,Bedford Stuyvesant ECDC 262,262 Lexington Ave,K,11216,718-453-0760
1001863,191894,NYCEEC,Bedford - Stuyvesant ECDC,971 Dekalb Ave,K,11221,718-453-0681
1003712,187088,NYCEEC,Community Parents Head Start,90 Chauncey St,K,11233,718-771-4002
1006160,185664,NYCEEC,Shirley Chisholm DCC Site 1,2023 Pacific St,K,11233,718-756-1721
999342,184615,NYCEEC,Friends Of Crown Heights #16,963 Park Pl,K,11213,718-778-8558
1001112,184847,NYCEEC,196 Albany Avenue DCC,196 Albany Ave,K,11213,718-773-0071
999222,176394,NYCEEC,Joan Watkins Corp. D / B / A Pre - School Minds DCC,3316 - 18 Church Ave,K,11203,718-284-9392
999615,177570,NYCEEC,The Children's Center @ SUNY Brooklyn,440 Lenox Rd,K,11203,718-221-6160
1004501,175992,NYCEEC,Yeled V'Yalda 407,407 East 53rd St,K,11203,718-514-8712
1000942,176919,NYCEEC,Friends Of Crown Heights,141 East 40th St,K,11203,718-284-2184
1016595,180222,NYCEEC,Boulevard Nursery School,2150 Linden Blvd,K,11207,718-649-2295
1021815,182930,NYCEEC,Marie Durdin CCC,2700 Linden Blvd,K,11208,718-647-4730
1011979,182425,NYCEEC,Help I,515 Blake Ave,K,11207,718-498-4002
1017280,175475,NYCEEC,Recreation Rooms And Settlement Starrett Early Learning,125 Schrooeders Ave,K,11239,718-642-8724
1017012,175603,NYCEEC,Recreation Rooms And Settlement Starrett Early Learning,1325 Pennsylvania Ave,K,11239,718-642-8724
977227,161359,NYCEEC,"Brooklyn Child Care, Inc.",800 Poly Pl Building 2,K,11209,718-630-2831
987214,163824,NYCEEC,Generation21 Day Care,6709 19th Ave,K,11204,718-621-9321
988846,168799,NYCEEC,Mother Love,"1681 49 St, #1f",K,11204,718-853-1408
976961,167660,NYCEEC,Our Saviour's Lutheran Preschool,414 80th St,K,11209,718-745-0020
977839,165548,NYCEEC,Smart Start ECC,8411 Ft Hamilton Pkwy,K,11209,718-921-1868
975123,166067,NYCEEC,"Tiny Tots Playhouse, LLC, The",243 88 St,K,11209,718-745-4509
993473,150264,NYCEEC,Buratino International Day Care,2962 Brighton 1st St,K,11235,718-368-2113
994935,149503,NYCEEC,M.S. Sunshine DCC,3096 Brighton 6th St,K,11235,718-648-8786
995420,164264,NYCEEC,"Red Hat DCC, Inc.",1317 East 15th St,K,11230,718-336-1480
995417,148981,NYCEEC,Shorefront YM - YWHA,3300 Coney Is Ave,K,11235,718-646-1444
986901,154500,NYCEEC,Shore Parkway Head Start,8885 26th Ave,K,11214,718-265-2359
996250,160871,NYCEEC,Keshet Learning Center,1612 Quentin Rd,K,11229,718-376-6958
1002127,177457,NYCEEC,Get Set Kindergarten School - Linden,623 Linden Blvd,K,11203,718-856-4646
996625,175651,NYCEEC,Get Set Kindergarten School Site - Snyder,2301 Snyder Ave,K,11226,718-856-4646
1002772,161157,NYCEEC,Infinity UPK,1972 East 34th St,K,11234,718-336-1981
993554,170338,NYCEEC,Nayema Universal Child Center,1107 Newkirk Ave,K,11230,718-462-3688
1000484,164353,NYCEEC,"Tiny Tots Express, Inc.",3321 Ave N,K,11234,718-338-9561
1010265,180170,NYCEEC,Salvation Army - Brownsville DCC,280 Riverdale Ave 1,K,11212,718-345-2488
1004288,195057,NYCEEC,Bushwick United HDFC 2,77 Wilson Ave,K,11237,718-821-2345
1008501,194797,NYCEEC,New Life CDC 3,408 Grv St,K,11237,718-417-4214
997721,184380,NYCEEC,Friends Of Crown Heights 9,813 Sterling Pl,K,11216,718-773-7733
1004502,185396,NYCEEC,Bedford Stuyvesant ECDC 133,133 Kings First Walk,K,11233,718-453-0828
1009679,182868,NYCEEC,Brightside Academy - Belmont,50 Belmont Ave,K,11212,718-346-1064
1000255,191478,NYCEEC,Brightside Academy - Dekalb Ave,844 Dekalb Ave,K,11221,718-574-3710
1004969,186076,NYCEEC,BCS Atlantic Avenue ELC,1825 Atlantic Ave,K,11233,347-296-4980
984437,174480,NYCEEC,Brooklyn Chinese American Assoc. - Bay Ridge DCC,4202 8th Ave,K,11232,718-438-0008
998301,171133,NYCEEC,Bumble Bees R Us 3,2813 Farragut Rd,K,11210,718-434-2337
1014559,185982,NYCEEC,St. Malachy ECDC,220 Hendrix St,K,11207,718-647-0966
997413,197193,NYCEEC,Nuestros Ninos DCC I,384 South 4th St,K,11211,718-218-8275
1019142,178427,NYCEEC,Urban Strategies 3,1152 Elton St,K,11239,718-348-9349
996646,191717,NYCEEC,Bnos Square Of Williamsburg,382 Willoughby Ave,K,11205,718-797-9844
994805,159373,NYCEEC,"Yeled V'Yalda ECC, Inc.",2166 Coney Is Ave,K,11223,718-732-7770
996553,196720,NYCEEC,Yeshiva Headstart Keap Street,274 Keap St,K,11211,718-486-6500
999237,183401,NYCEEC,Yeled V'Yalda 667,667 Eastern Pkwy,K,11213,718-514-8712
980400,171927,NYCEEC,Sunset Park ECC,5902 6 Ave,K,11220,718-722-6236
1005522,182307,NYCEEC,Inner Force Tots,1181 East New York Ave,K,11212,718-221-1246
995245,197276,NYCEEC,Jonathan Williams,321 Roebling St,K,11211,718-387-5011
997570,192432,NYCEEC,Our Children The Leaders Of Tomorrow 1,756 Myrtle Ave,K,11206,718-643-8201
993758,196868,NYCEEC,Williamsburg Y Head Start,64 Division Ave,K,11249,718-387-0229
1006362,190197,NYCEEC,A.C.E. Integration Head Start,1419 - 23 Broadway,K,11221,718-443-3917
997465,176822,NYCEEC,"Roger Day Care, Inc.",775 Rogers Ave,K,11226,718-703-4312
992520,164995,NYCEEC,Yeled V?yalda,1200 Ocean Pkwy,K,11230,718-514-8928
983635,147991,NYCEEC,YWCA - NYC Roberta Bright ELC,3001 W 37th St,K,11224,718-373-1100
981319,171601,NYCEEC,Happy Dragon Children And Family Center,5805 7th Ave,K,11220,347-610-1802
1005874,181647,NYCEEC,Friends Of Crown Heights 26,20 Sutter Ave,K,11212,718-467-4270
980791,172187,NYCEEC,Bumble Bees R Us 8,5721 6th Ave,K,11220,718-676-0080
1000909,189948,NYCEEC,Bedford Stuyvesant ECDC 510,510 Quincy St,K,11221,718-455-4806
996861,174261,NYCEEC,Higher Level,2401 Beverley Rd,K,11226,718-856-4064
999360,179703,NYCEEC,"Little Stars Daycare Center, Inc.",588 Brooklyn Ave,K,11203,718-673-3092
987479,170870,NYCEEC,Beth Jacob Of Borough Park,1371 46 St,K,11219,718-436-7300
983756,172508,NYCEEC,Brooklyn Chinese - American Assoc.,871 50th St,K,11220,718-438-0008
985130,148137,NYCEEC,Sunshine Center Of Coney Island,2929 W31st St,K,11224,718-996-7200
986272,192646,NYCEEC,Imagine Brooklyn Heights,50 Monroe Pl,K,11201,718-624-7520
1010105,179731,NYCEEC,SCO Family Of Services,225 Newport St,K,11212,929-234-6870
1004246,176982,NYCEEC,Magic Kingdom LLC,5215 Church Ave,K,11203,347-793-0180
1002181,150120,NYCEEC,CDC Of Kingsborough,1915 Oriental Blvd,K,11235,718-368-5868
984537,174612,NYCEEC,Brooklyn Chinese American Assoc.,4116 8th Ave,K,11232,718-438-0008
1000435,184294,NYCEEC,"Arista Prep, Inc.",221 Kingston Ave,K,11213,718-756-5550
998107,172467,NYCEEC,Friends Of Crown Heights,2805 Newkirk Ave,K,11226,917-966-4400
1002981,176464,NYCEEC,"Apple Tree Day Care, Inc.",440 East 48th St,K,11203,718-287-7488
1006121,153905,NYCEEC,Infinity UPK Of Gerritsen Avenue,2934 - 2936 Gerritsen Ave,K,11229,718-336-1981
983726,149443,NYCEEC,Dezzenterprise LLC,3524 Neptune Ave,K,11224,917-207-2438
1003783,183072,NYCEEC,Effie Bs ECDC Corp.,1171 Eastern Pkwy,K,11213,718-735-5500
987664,170821,NYCEEC,Bnos Chaya,4511 14th Ave,K,11219,718-851-1212
1009275,188871,NYCEEC,Urban Strategies Child Care,1405 Bushwick Ave,K,11207,718-235-6151
992888,175116,NYCEEC,Honeydew Drop Playhouse,1113 Church Ave,K,11218,718-941-2177
983551,172516,NYCEEC,IP Kids Montessori,850 50th St,K,11220,718-633-1178
991295,159431,NYCEEC,"Ronomoza, Inc. / The Learning Experience",412 Kings Hwy,K,11223,718-627-7340
996273,177158,NYCEEC,Blue Star DCC,2217 Caton Ave,K,11226,718-703-0009
1018271,185021,NYCEEC,"A Castle For Classy Kids Learning Center, Inc.",2570 Pitkin Ave,K,11208,347-750-8154
989394,155744,NYCEEC,"Circle, Triangle, Square Daycare, Inc.",2720 86th St,K,11223,718-373-2234
993841,175405,NYCEEC,Aim High Childrens Services,83 Marlborough Rd,K,11226,718-509-0630
1001782,158293,NYCEEC,A To Z DCC,3053 Ave U,K,11229,718-368-1234
993255,171230,NYCEEC,Kaleidoscope Early Childhood Develepment Center,480 Stratford Rd,K,11218,917-652-4422
984335,166178,NYCEEC,Angel ECDC,1436 67th St 1st Floor,K,11219,718-259-0888
995969,198682,NYCEEC,Bushwick United Development Fund,243 South 2nd St,K,11211,718-443-0685
1017056,185285,NYCEEC,Rockgate DCC 1,770 - 784 Glenmore Ave,K,11208,718-348-7414
996885,162953,NYCEEC,Promise World Daycare,1968 Ocean Ave,K,11230,718-743-2828
1001486,199184,NYCEEC,Queen Of The Rosary Catholic Academy,11 Catherine St,K,11211,718-388-7992
994321,185652,NYCEEC,Sunny Skies Preschool,720 Washington Ave,K,11238,917-337-8003
1003647,174842,NYCEEC,"Faces Of The Future ELC, LLC",1080 Utica Ave,K,11203,718-618-0061
993304,153043,NYCEEC,Neshama Preschool,723 Ave Z,K,11223,917-804-8284
1011694,185198,NYCEEC,Trey Whitfield School,17 Hinsdale St,K,11207,718-342-7722
1003343,183392,NYCEEC,Bka Utica,250 Utica Ave,K,11213,718-953-9011
1000837,176492,NYCEEC,Bryan's Educational Center,3922 Church Ave,K,11203,718-282-6944
