loccode,x,y,prek_type,name,address,borough,zip,phone
K156,1006944,181831,DOE,P.S. 156 Waverly,104 Sutter Ave,K,11212,718-498-2811
K157,995355,192637,DOE,P.S. 157 Benjamin Franklin,850 Kent Ave,K,11205,718-622-9285
K158,1016131,184337,DOE,P.S. 158 Warwick,400 Ashford St,K,11207,718-277-6116
K161,998338,181915,DOE,P.S. 161 The Crown,330 Crown St,K,11225,718-756-3100
K164,988177,171416,DOE,P.S. 164 Caesar Rodney,4211 14 Ave,K,11219,718-854-4100
K165,1008949,178732,DOE,P.S. 165 Ida Posner,76 Lott Ave,K,11212,718-495-7759
K172,984158,178921,DOE,P.S. 172 Beacon School Of Excellence,825 4 Ave,K,11232,718-965-4200
K177,991336,160937,DOE,P.S. 177 The Marlboro,346 Ave P,K,11204,718-375-9506
K178,1007728,185292,DOE,P.S. 178 St. Clair Mckelway,2163 Dean St,K,11233,718-495-7768
K179,990551,172548,DOE,P.S. 179 Kensington,202 Ave C,K,11218,718-438-4010
K180,987136,167594,DOE,The Seeall Academy,5601 16 Ave,K,11204,718-851-8070
K181,999237,175436,DOE,P.S. 181 Brooklyn,1023 New York Ave,K,11203,718-462-5298
K182,995368,198597,CHARTER,Success Academy Charter School - Williamsburg Pre - Kindergarten,183 South 3rd St,K,11211,718-704-1419
K184,1010622,179822,DOE,P.S. 184 Newport,273 Newport St,K,11212,718-495-7775
K186,985747,161927,DOE,P.S. 186 Dr. Irving A Gladstone,7601 19 Ave,K,11214,718-236-7071
K188,984106,149472,DOE,P.S. 188 Michael E Berdy,3314 Neptune Ave,K,11224,718-265-7580
K190,1013461,180625,DOE,P.S. 190 Sheffield,590 Sheffield Ave,K,11207,718-346-8780
K191,1005274,184040,DOE,P.S. 191 Paul Robeson,1600 Park Pl,K,11233,718-756-1206
K192,989832,168445,DOE,P.S. 192 - The Magnet School For Math And Science Inquiry,4715 18 Ave,K,11204,718-633-3061
K193,998056,165816,DOE,P.S. 193 Gil Hodges,2515 Ave L,K,11210,718-338-9011
K194,1002569,156858,DOE,P.S. 194 Raoul Wallenberg,3117 Ave W,K,11229,718-648-8804
K195,999917,150530,DOE,P.S. 195 Manhattan Beach,131 Irwin St,K,11235,718-648-9102
K196,1000961,197506,DOE,P.S. 196 Ten Eyck,207 Bushwick Ave,K,11206,718-497-0139
K197,997690,162462,DOE,P.S. 197 - The Kings Highway Academy,1599 East 22 St,K,11210,718-377-7890
K198,1001725,171434,DOE,P.S. 198 Brooklyn,4105 Farragut Rd,K,11210,718-282-4920
K199,994497,163891,DOE,P.S. 199 Frederick Wachtel,1100 Elm Ave,K,11230,718-339-1422
K200,983788,158980,DOE,P.S. 200 Benson School,1940 Benson Ave,K,11214,718-236-5466
K202,1018510,181996,DOE,P.S. 202 Ernest S Jenkyns,982 Hegeman Ave,K,11208,718-649-7880
K203,1004878,165792,DOE,P.S. 203 Floyd Bennett School,5101 Ave M,K,11234,718-241-8488
K204,982425,162902,DOE,P.S. 204 Vince Lombardi,8101 15 Ave,K,11228,718-236-2906
K205,987836,163315,DOE,P.S. 205 Clarion,6701 20 Ave,K,11204,718-236-2380
K206,998543,156874,DOE,P.S. 206 Joseph F Lamb,2200 Gravesend Nck Rd,K,11229,718-743-5598
K207,1003637,162866,DOE,P.S. 207 Elizabeth G Leary,4011 Fillmore Ave,K,11234,718-645-8667
K208,1003436,173291,DOE,P.S. 208 Elsa Ebeling,4801 Ave D,K,11203,718-629-1670
K209,994897,153044,DOE,P.S. 209 Margaret Mead,2609 East 7 St,K,11235,718-743-1954
K212,988250,153341,DOE,P.S. 212 Lady Deborah Moody,87 Bay 49 St,K,11214,718-266-4841
K213,1014692,179849,DOE,P.S. 213 New Lots,580 Hegeman Ave,K,11207,718-257-4034
K214,1022233,185689,DOE,P.S. 214 Michael Friedsam,2944 Pitkin Ave,K,11208,718-647-1740
K215,992559,158723,DOE,P.S. 215 Morris H Weiss,415 Ave S,K,11223,718-339-2464
K216,992663,154348,DOE,P.S. 216 Arturo Toscanini,350 Ave X,K,11223,718-645-2862
K217,993573,170160,DOE,P.S. 217 Colonel David Marcus School,1100 Newkirk Ave,K,11230,718-434-6960
K219,1005716,179426,DOE,P.S. 219 Kennedy - King,1060 Clarkson Ave,K,11212,718-342-0493
K221,1001983,181168,DOE,P.S. 221 Toussaint L'Ouverture,791 Empire Blvd,K,11213,718-756-0122
K222,1001227,162862,DOE,P.S. 222 Katherine R Snyder,3301 Quentin Rd,K,11234,718-998-4298
K224,1021434,181544,DOE,P.S. 224 Hale A Woodruff,757 Wortman Ave,K,11208,718-235-3600
K225,996443,150554,DOE,P.S. K225 - The Eileen E Zaglin,1075 Ocean Vw Ave,K,11235,718-743-9793
K226,990693,163416,DOE,P.S. 226 Alfred De Bmason,6006 23 Ave,K,11204,718-234-4940
K229,980558,161737,DOE,P.S. 229 Dyker,1400 Benson Ave,K,11228,718-236-5447
K230,989675,174378,DOE,P.S. 230 Doris L Cohen,1 Albemarle Rd,K,11218,718-437-6135
K233,1008110,176607,DOE,P.S. 233 Langston Hughes,9301 Ave B,K,11236,718-346-8103
K235,1000654,177895,DOE,P.S. 235 Lenox School,525 Lenox Rd,K,11203,718-773-4869
K236,1008520,163671,DOE,P.S. 236 Mill Basin,6302 Ave U,K,11234,718-444-6969
K238,994024,161069,DOE,P.S. 238 Anne Sullivan,1633 East 8 St,K,11223,718-339-4355
K241,995237,183023,DOE,P.S. 241 Emma L Johnston,976 President St,K,11225,718-636-4725
K243,1002118,185508,DOE,P.S. 243k - The Weeksville School,1580 Dean St,K,11213,718-604-6909
K244,1004881,175443,DOE,P.S. 244 Richard R Green,5404 Tilden Ave,K,11203,718-346-6240
K245,994541,174249,DOE,P.S. 245,249 East 17th St,K,11226,718-284-2330
K247,987819,162329,DOE,P.S. 247 Brooklyn,7000 21 Ave,K,11204,718-236-4205
K249,993590,175985,DOE,P.S. 249 The Caton,18 Marlborough Rd,K,11226,718-282-8828
K250,999425,196814,DOE,P.S. 250 George H Lindsay,108 Montrose Ave,K,11206,718-384-0889
K251,1005337,169271,DOE,P.S. 251 Paerdegat,1037 East 54 St,K,11234,718-251-4110
K253,994847,150547,DOE,P.S. 253,601 Oceanview Ave,K,11235,718-332-3331
K254,997727,154490,DOE,P.S. 254 Dag Hammarskjold,1801 Ave Y,K,11235,718-743-0890
K255,996523,159403,DOE,P.S. 255 Barbara Reing School,1866 East 17 St,K,11229,718-376-8494
K256,998224,190889,DOE,P.S. 256 Benjamin Banneker,114 Kosciusko St,K,11216,718-857-9820
K257,1000436,195288,DOE,P.S. 257 John F Hylan,60 Cook St,K,11206,718-384-7128
K261,987504,189641,DOE,P.S. 261 Philip Livingston,314 Pacific St,K,11201,718-330-9275
K262,1003788,188160,DOE,P.S. 262 El Hajj Malik El Shabazz Elementary School,500 Macon St,K,11233,718-453-0780
K268,1004308,178698,DOE,P.S. 268 Emma Lazarus,133 East 53 St,K,11203,718-773-5332
K269,998729,171624,DOE,P.S. 269 Nostrand,1957 Nostrand Ave,K,11210,718-941-2800
K270,994945,191064,DOE,P.S. 270 Johann Dekalb,241 Emerson Pl,K,11205,718-623-5280
K272,1015842,170884,DOE,P.S. 272 Curtis Estabrook,101 - 24 Seaview Ave,K,11236,718-241-1300
K273,1017806,179114,DOE,P.S. 273 Wortman,923 Jerome St,K,11207,718-649-5739
K274,1004250,192316,DOE,P.S. 274 Kosciusko,800 Bushwick Ave,K,11221,718-574-0273
K276,1009786,170188,DOE,P.S. 276 Louis Marshall,1070 East 83 St,K,11236,718-241-5757
K277,1004239,156389,DOE,P.S. 277 Gerritsen Beach,2529 Gerritsen Ave,K,11229,718-743-6689
K279,1014049,173991,DOE,P.S. 279 Herman Schreiber,1070 East 104 St,K,11236,718-444-4316
K280,989077,178398,DOE,Pre - K Center At Bishop Ford School Site,500 19th St,K,11215,718-965-1190
K282,990423,185765,DOE,P.S. 282 Park Slope,180 6 Ave,K,11217,718-622-1626
K284,1009894,182254,DOE,P.S. 284 Lew Wallace,213 Osborn St,K,11212,718-495-7791
K287,989554,193596,DOE,P.S. 287 Bailey K Ashford,50 Navy St,K,11201,718-834-4745
K288,986399,148501,DOE,P.S. 288 The Shirley Tanyhill,2950 West 25 St,K,11224,718-382-2100
K289,1000334,185025,DOE,P.S. 289 George V Brower,900 St Marks Ave,K,11213,718-493-3824
K290,1014898,186364,DOE,P.S. 290 Juan Morel Campos,135 Schenck Ave,K,11207,718-647-1113
K295,987330,180120,DOE,P.S. 295,330 18 St,K,11215,718-965-0390
K297,998786,193431,DOE,P.S. 297 Abraham Stockton,700 Park Ave,K,11206,718-388-4581
K298,1009797,183759,DOE,P.S. 298 Dr. Betty Shabazz,85 Watkins St,K,11212,718-495-7793
K299,1007012,191023,DOE,P.S. 299 Thomas Warren Field,88 Woodbine St,K,11221,718-574-0301
K305,999466,189159,DOE,P.S. 305 Dr. Peter Ray,344 Monroe St,K,11216,718-789-3962
K306,1015725,178099,DOE,P.S. 306 Ethan Allen,970 Vermont St,K,11207,718-649-3155
K307,989287,194892,DOE,P.S. 307 Daniel Hale Williams,209 York St,K,11201,718-834-4748
K308,1002040,190109,DOE,P.S. 308 Clara Cardwell,616 Quincy St,K,11221,718-574-2373
K309,1005259,190031,DOE,P.S. 309 The George E Wibecan Preparatory Academy,794 Monroe St,K,11221,718-574-2381
K312,1009549,165828,DOE,P.S. 312 Bergen Beach,7103 Ave T,K,11234,718-763-4015
K315,996903,169868,DOE,P.S. K315,2310 Glenwood Rd,K,11210,718-421-9560
K316,995204,185072,DOE,P.S. 316 Elijah Stroud,750 Classon Ave,K,11238,718-638-4043
K319,996991,197833,DOE,P.S. 319,360 Keap St,K,11211,718-388-1588
K323,1008890,182134,DOE,P.S. / I.S. 323,210 Chester St,K,11212,718-495-7781
K325,1013506,177584,DOE,The Fresh Creek School,875 Williams Ave,K,11207,718-272-1843
K326,1004192,168228,DOE,P.S. 326,1800 Utica Ave,K,11234,718-241-4828
K327,1008639,182807,DOE,P.S. 327 Dr. Rose B English,111 Bristol St,K,11212,718-495-7801
K328,1012561,182536,DOE,P.S. 328 Phyllis Wheatley,330 Alabama Ave,K,11207,718-345-9393
K329,985385,148644,DOE,P.S. 329 Surfside,2929 West 30 St,K,11224,718-996-3800
K335,1004167,184956,DOE,P.S. 335 Granville T Woods,130 Rochester Ave,K,11213,718-493-7736
K345,1017530,185678,DOE,P.S. 345 Patrolman Robert Bolden,111 Berriman St,K,11208,718-647-8387
K346,1017065,175010,DOE,P.S. 346 Abe Stark,1400 Pennsylvania Ave,K,11239,718-642-3000
K361,998959,172556,DOE,P.S. 361 East Flatbush Early Childhood School,3109 Newkirk Ave,K,11226,718-856-0600
K362,986446,180808,CHARTER,Hellenic Classical Charter School,646 5th Ave,K,11215,718-499-0957
K375,995449,181484,DOE,P.S. 375 Jackie Robinson School,46 Mckeever Pl,K,11225,718-693-6655
K377,1007847,192076,DOE,P.S. 377 Alejandrina B De Gautier,200 Woodbine St,K,11221,718-574-0325
K380,997157,195047,DOE,P.S. 380 John Wayne Elementary,370 Marcy Ave,K,11206,718-388-0607
K384,1010671,190713,DOE,P.S. / I.S. 384 Frances E Carter,242 Cooper St,K,11207,718-574-0382
K394,1004137,184405,DOE,M.S. K394,188 Rochester Ave,K,11213,718-756-3164
K397,999116,179285,DOE,P.S. 397 Foster - Laurie,490 Fenimore St,K,11203,718-774-5200
K398,1004231,181212,DOE,P.S. 398 Walter Weaver,60 East 94 St,K,11212,718-774-4466
K401,1010248,184196,DOE,Christopher Avenue Community School,51 Christopher Ave,K,11212,718-495-5761
K414,996862,197921,DOE,Brooklyn Arbor Elementary School,325 South 3 St,K,11211,718-963-0393
K446,1008226,179691,DOE,Riverdale Avenue Community School,76 Riverdale Ave,K,11212,718-485-1679
K506,978839,173228,DOE,P.S. 506 : The School Of Journalism & Technology,330 59 St,K,11220,718-492-0087
K516,981893,176359,DOE,Sunset Park Avenues Elementary School,4222 4th Ave,K,11232,718-369-8330
K532,1002508,183178,DOE,New Bridges Elementary,1025 Eastern Pkwy,K,11213,718-363-8200
K557,1012718,181795,DOE,Brooklyn Gardens Elementary School,574 Dumont Ave,K,11207,718-495-7012
K599,1009065,187213,DOE,Brooklyn Landmark Elementary School,251 Mcdougal St,K,11233,718-443-2747
K627,1000626,192069,DOE,Brighter Choice Community School,280 Hart St,K,11206,718-574-2378
K628,1002154,187659,DOE,Brooklyn Brownstone School,272 Macdonough St,K,11233,718-573-2307
K636,1000728,192084,DOE,Young Scholars' Academy For Discovery And Exploration,280 Hart St,K,11206,718-453-4081
K651,982340,184973,CHARTER,Pave Academy Charter School,76 Lorraine St,K,11231,917-803-0380
K676,982876,186241,DOE,Red Hook Neighborhood School,27 Huntington St,K,11231,718-330-2238
K677,1017717,183231,DOE,East New York Elementary School Of Excellence,605 Shepherd Ave,K,11208,718-272-6075
K702,994928,191061,CHARTER,Community Partnership Charter School Pre - Kindergarten,241 Emerson Pl,K,11205,718-399-3824
K705,995436,185886,DOE,Brooklyn Arts And Science Elementary School,443 St Marks Ave,K,11238,718-230-0851
K748,982228,160397,DOE,P.S. 748 Brooklyn School For Global Scholars,1664 Benson Ave,K,11214,718-382-3130
K770,1004164,181298,DOE,P.S. 770 New American Academy,60 East 94 St,K,11212,718-221-5837
KAAE,975045,166820,NYCEEC,Adelphi Academy Of Brooklyn,8515 Rdg Blvd,K,11209,718-238-3308
KAAS,999262,180626,NYCEEC,Associated Beth Rivkah School - UPK,470 Lefferts Ave,K,11225,718-735-0400
KABC,986288,166574,NYCEEC,Bais Sarah School,6101 16 Ave,K,11204,718-871-7571
KABD,989033,171984,NYCEEC,Bais Tziporah,1449 39th St,K,11218,718-436-8336
KABE,990426,166877,NYCEEC,Bais Yaakov D'chassidei Gur,1975 51st St,K,11204,718-338-5600
KABF,994745,164146,NYCEEC,Bais Yaakov Academy UPK,1213 Elm Ave,K,11230,718-339-4747
KABG,994502,196556,NYCEEC,Yeshiva Jesode Hatorah,563 Bedford Ave,K,11211,718-302-7500
KABN,990677,165898,NYCEEC,Barkai Yeshivah,5302 21 Ave,K,11204,718-998-7473
KABP,1002608,177682,NYCEEC,Battalion Christian Academy,780 Schenectady Ave,K,11203,718-774-5447
KABU,1016772,174547,NYCEEC,Be - Er Hagolah Institutes,671 Louisiana Ave,K,11239,718-642-6800
KACI,995495,158326,NYCEEC,Bambi Day Care,1981 Homecrest Ave,K,11229,718-645-7010
KADG,1001380,180668,NYCEEC,Bnos Menachem,739 East New York Ave,K,11203,718-493-1100
KADN,986785,169923,NYCEEC,Zion Day Care,5000 14th Ave,K,11219,718-438-2862
KADP,988683,171061,NYCEEC,Gan DCC,4206 - 10 15th Ave,K,11219,718-435-2812
KADW,1003138,153054,NYCEEC,Brooklyn Amity School,3867 Shr Pkwy,K,11235,718-891-6100
KAET,974876,166906,NYCEEC,Dimitrios & Georgia Kaloidis P.S. Of Holy Cross Goc,8502 Rdg Blvd,K,11209,718-836-8096
KAFB,997555,183743,NYCEEC,Epiphany Lutheran School,721 Lincoln Pl,K,11216,718-773-7200
KAFO,1000793,159493,NYCEEC,Good Shepherd School,1943 Brown St,K,11229,718-339-2745
KAFZ,994623,167956,NYCEEC,HIDEC,1401 Ave I,K,11230,718-377-7507
KAHA,996304,168211,NYCEEC,Masores Bais Yaakov,1395 Ocean Ave,K,11230,718-692-2424
KAHX,976810,171036,NYCEEC,Gateway City Academy,257 Bay Rdg Ave,K,11220,718-921-3737
KAIN,999883,174969,NYCEEC,Phyl's Academy,3520 Tilden Ave,K,11203,718-469-9400
KAIT,996376,160135,NYCEEC,Prospect Park Yeshiva,1784 East 17 St,K,11229,718-376-5959
KAJD,976536,167089,NYCEEC,St. Anselm Catholic Academy,365 83 St,K,11209,212-929-0839
KAJE,989910,163686,NYCEEC,St. Athanasius School,6120 Bay Pkwy,K,11204,718-236-4791
KAJR,982809,159201,NYCEEC,Heartshare Human Services Of New York,1825 Bath Ave,K,11214,718-238-4637
KAJT,1004723,194266,NYCEEC,St. Frances Cabrini Catholic Academy,181 Suydam St,K,11221,718-386-9277
KAJW,998382,180267,NYCEEC,St. Francis Of Assisi,400 Lincoln Rd,K,11225,718-778-3700
KAKF,997939,153520,NYCEEC,St. Mark School,2602 East 19th St,K,11235,718-332-9304
KAKI,986936,158403,NYCEEC,St. Peter Catholic Academy,8401 23rd Ave,K,11214,718-372-0025
KALL,997022,176227,NYCEEC,St. Gregory The Great Catholic Academy,2520 Church Ave,K,11226,917-972-9673
KALT,991104,167799,NYCEEC,"Cheder, The",129 Elmwood Ave,K,11230,718-252-6333
KANO,986737,172123,NYCEEC,Yeshivas Boyan Tifereth Mordechai Shlomo,1205 44 St,K,11219,718-435-6060
KANX,988679,166928,NYCEEC,Yeshiva Karlin Stolin,1801 55th St,K,11204,718-232-7800
KAOA,988545,171886,NYCEEC,Yeshiva Headstart 40th Street,1402 40th St,K,11218,718-633-2232
KAOP,993607,167603,NYCEEC,Yeshivah Of Flatbush,919 East 10 St,K,11230,718-377-4040
KAOQ,1000029,154006,NYCEEC,Yeshiva Of Kings Bay,2611 Ave Z,K,11235,718-646-8500
KAOV,994249,165097,NYCEEC,Yeshiva Ohr Shraga,1102 Ave L,K,11230,718-252-7777
KAPB,991215,174025,NYCEEC,Yeshivat Shaare Torah,222 Ocean Pkwy,K,11218,718-437-6101
KAPM,996604,163668,NYCEEC,Yeshiva Toras Emes,1904 Ave N,K,11230,718-375-0900
KAPR,1008464,163862,NYCEEC,Talmud Torah Crown Heights Yeshivah,6363 Ave U,K,11234,718-444-5800
KARQ,1005130,175370,NYCEEC,Parkway School,5566 Kings Hwy,K,11203,718-346-0369
KARS,985283,172619,NYCEEC,Action Nursery,1019 46th St,K,11219,718-854-7777
KASC,1005435,187319,NYCEEC,Brevoort Children's Center,250 Ralph Ave,K,11233,718-778-1069
KASG,1001328,184557,NYCEEC,Edwards L Cleaveland,1185 Park Pl,K,11213,718-623-9803
KASI,994095,172679,NYCEEC,Cortelyou ECC,386 Marlborough Rd,K,11226,718-282-6077
KASJ,989371,191718,NYCEEC,BCS Duffield Children's Center,101 Fleet Pl,K,11201,718-522-5296
KASR,998938,170343,NYCEEC,Glennwood Avenue Head Start,3017 Glenwood Rd,K,11210,718-859-7720
KASZ,996742,166085,NYCEEC,East Midwood Hebrew Day School,1256 East 21st St,K,11210,718-253-1555
KATG,1000019,199974,NYCEEC,Ahrc Francis Of Paola ELC,201 Conselyea St,K,11211,718-782-1462
KATR,992605,150820,NYCEEC,Warbasse Nursery School,2785 West 5th St,K,11224,718-266-5585
KATZ,994173,151073,NYCEEC,Neptune Avenue Head Start,293 Neptune Ave,K,11235,718-332-8524
KAUK,995048,162397,NYCEEC,NYL / WOC Midwood,1520 East 13th St,K,11230,718-382-1060
KAVQ,1014511,169772,NYCEEC,Hebrew Educational Society,9502 Seaview Ave,K,11236,718-241-3000
KAWC,989158,190182,NYCEEC,"Hanover Place CCC, LLC",15 Hanover Pl,K,11201,347-916-0333
KAWQ,998505,183018,NYCEEC,Macademy,1313 Un St,K,11225,718-221-5566
KAWX,1010003,180674,NYCEEC,PAL World Of Creative Experiences Head Start,280 Livonia Ave,K,11212,718-345-5219
KAXC,1005748,186420,NYCEEC,Bishop Sexton,933 Herkimer St,K,11233,718-778-0292
KAXU,1013032,181436,NYCEEC,University Settlement Children's Corner,565 Livonia Ave,K,11207,212-453-4595
KAXW,1003224,182225,NYCEEC,"Highlights Academy, Inc.",1688 President St,K,11213,718-953-5555
KAYF,983647,147886,NYCEEC,PAL La Puerta Abierta,3001 West 37 St,K,11224,718-373-1100
KAYL,995872,197144,NYCEEC,"Puerto Rican Family Institute, Inc.",185 Marcy Ave,K,11211,718-388-6060
